%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
1651857044948314987,2734,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044949682301,2735,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044950748748,2736,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044951551510,2737,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044954053144,2738,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044954812226,2739,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044955652333,2740,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044956584890,2741,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044958918137,2742,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044959784965,2743,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044960553455,2744,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044961338362,2745,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044962266374,2746,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044963161938,2747,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044964895337,2748,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044966625857,2750,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044967894258,2751,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044969005600,2752,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044969712394,2753,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044971272287,2754,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044971796966,2755,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044972536624,2756,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044973002454,2757,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044974761838,2758,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044975976606,2759,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044978222844,2760,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044979658031,2761,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044981440807,2763,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044982696312,2764,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044983577956,2765,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044984755892,2766,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044985478685,2767,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044986364617,2768,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044987541241,2769,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044989165999,2770,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044990077339,2771,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044991022600,2772,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044992711966,2773,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044994099569,2774,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044994843355,2775,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044996005642,2776,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044998329001,2778,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857044998923409,2779,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045006908669,2782,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045008132941,2783,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045009047577,2784,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045010209385,2785,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045011255063,2786,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045013035023,2787,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045015771059,2788,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045017557323,2789,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045018448535,2790,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045021043290,2791,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045021666242,2792,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045022926355,2793,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045025037296,2794,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045025696568,2795,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045028839171,2796,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045030340759,2797,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045031174306,2798,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045031857259,2799,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045034182986,2800,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045034839955,2801,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045035805568,2802,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045037609176,2803,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045039433777,2804,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045041942418,2806,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045043109698,2807,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045043932333,2808,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045047448060,2809,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045047491389,2810,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045049057074,2811,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045050399236,2812,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045051790582,2813,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045052803140,2814,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045053305611,2815,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045054371481,2816,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045054416986,2817,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045059239706,2818,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045063211120,2819,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045064386879,2820,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045065261579,2821,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045066161783,2822,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045067325927,2823,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045072174792,2824,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045073713820,2825,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045074418246,2826,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045075915386,2827,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045077733298,2828,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045078637086,2829,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045078713663,2830,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045079379144,2831,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045081605862,2832,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045083922021,2833,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045084626959,2834,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045085811935,2835,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045088480930,2836,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045089590833,2837,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045090334395,2838,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045091359881,2839,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045096189162,2840,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045096225418,2841,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045098478568,2842,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045101002986,2843,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045102956549,2844,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045105635400,2845,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045107722820,2846,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045108088617,2847,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045108524783,2848,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045108919284,2849,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045111189619,2850,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045112635110,2851,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045113683924,2852,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045114353373,2853,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045114838660,2854,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045115554797,2855,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045116108661,2856,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045117125603,2857,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045118072271,2858,0,,0.0581238232553,0.0,0.5,0.0,0.0
1651857045121071479,2859,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045121884098,2860,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045122389257,2861,0,,0.05579886958,0.0,0.5,0.0,0.0
